nominal;data;curs;cdx
1;29.03.2023;76,5939;ДолларСША
1;28.03.2023;76,5662;ДолларСША
1;25.03.2023;76,4479;ДолларСША
1;24.03.2023;76,3072;ДолларСША
1;23.03.2023;76,9561;ДолларСША
1;22.03.2023;76,8373;ДолларСША
1;21.03.2023;77,2422;ДолларСША
1;18.03.2023;76,6044;ДолларСША
1;17.03.2023;76,4095;ДолларСША
1;16.03.2023;75,7457;ДолларСША
1;15.03.2023;75,1927;ДолларСША
1;14.03.2023;75,4609;ДолларСША
1;11.03.2023;75,9406;ДолларСША
1;10.03.2023;75,9028;ДолларСША
1;08.03.2023;75,4577;ДолларСША
1;07.03.2023;75,4728;ДолларСША
1;04.03.2023;75,4592;ДолларСША
1;03.03.2023;75,4729;ДолларСША
1;02.03.2023;75,2513;ДолларСША
1;01.03.2023;74,8932;ДолларСША
1;28.02.2023;75,4323;ДолларСША
1;23.02.2023;74,7087;ДолларСША
1;22.02.2023;74,8596;ДолларСША
1;21.02.2023;74,0432;ДолларСША
1;18.02.2023;74,7588;ДолларСША
1;17.02.2023;74,7638;ДолларСША
1;16.02.2023;74,2077;ДолларСША
1;15.02.2023;73,8645;ДолларСША
1;14.02.2023;73,6307;ДолларСША
1;11.02.2023;72,7923;ДолларСША
1;10.02.2023;72,8949;ДолларСША
1;09.02.2023;71,5763;ДолларСША
1;08.02.2023;70,8924;ДолларСША
1;07.02.2023;70,5991;ДолларСША
1;04.02.2023;70,3847;ДолларСША
1;03.02.2023;70,0414;ДолларСША
1;02.02.2023;70,1217;ДолларСША
1;01.02.2023;70,5174;ДолларСША
1;31.01.2023;69,5927;ДолларСША
1;28.01.2023;69,3372;ДолларСША
1;27.01.2023;69,1263;ДолларСША
1;26.01.2023;68,9573;ДолларСША
1;25.01.2023;68,7529;ДолларСША
1;24.01.2023;68,6288;ДолларСША
1;21.01.2023;68,6656;ДолларСША
1;20.01.2023;68,8467;ДолларСША
1;19.01.2023;68,8728;ДолларСША
1;18.01.2023;68,6644;ДолларСША
1;17.01.2023;68,2892;ДолларСША
1;14.01.2023;67,5744;ДолларСША
1;13.01.2023;67,7775;ДолларСША
1;12.01.2023;69,0202;ДолларСША
1;11.01.2023;69,6094;ДолларСША
1;10.01.2023;70,3002;ДолларСША
1;31.12.2022;70,3375;ДолларСША
1;30.12.2022;71,9778;ДолларСША
1;29.12.2022;71,3261;ДолларСША
1;28.12.2022;69,9346;ДолларСША
1;27.12.2022;68,4487;ДолларСША
1;24.12.2022;68,676;ДолларСША
1;23.12.2022;72,1306;ДолларСША
1;22.12.2022;70,5256;ДолларСША
1;21.12.2022;69,0037;ДолларСША
1;20.12.2022;66,3474;ДолларСША
1;17.12.2022;64,6078;ДолларСША
1;16.12.2022;64,3015;ДолларСША
1;15.12.2022;63,359;ДолларСША
1;14.12.2022;63,212;ДолларСША
1;13.12.2022;62,7674;ДолларСША
1;10.12.2022;62,3813;ДолларСША
1;09.12.2022;62,5722;ДолларСША
1;08.12.2022;62,9372;ДолларСША
1;07.12.2022;62,9103;ДолларСША
1;06.12.2022;62,1849;ДолларСША
1;03.12.2022;61,7749;ДолларСША
1;02.12.2022;61,1479;ДолларСША
1;01.12.2022;60,8803;ДолларСША
1;30.11.2022;61,0742;ДолларСША
1;29.11.2022;60,752;ДолларСША
1;26.11.2022;60,4797;ДолларСША
1;25.11.2022;60,3866;ДолларСША
1;24.11.2022;60,5043;ДолларСША
1;23.11.2022;60,6566;ДолларСША
1;22.11.2022;60,7379;ДолларСША
1;19.11.2022;60,3741;ДолларСША
1;18.11.2022;60,3894;ДолларСША
1;17.11.2022;60,3484;ДолларСША
1;16.11.2022;60,3116;ДолларСША
1;15.11.2022;60,3982;ДолларСША
